profile,depth_km,pressure_GPa,temperature_K,volume_A3,density_kg_m3,C11_T_GPa,sigma_C11_T_GPa,C12_T_GPa,sigma_C12_T_GPa,C13_T_GPa,sigma_C13_T_GPa,C14_T_GPa,sigma_C14_T_GPa,C15_T_GPa,sigma_C15_T_GPa,C33_T_GPa,sigma_C33_T_GPa,C44_T_GPa,sigma_C44_T_GPa,C11_S_GPa,sigma_C11_S_GPa,C12_S_GPa,sigma_C12_S_GPa,C13_S_GPa,sigma_C13_S_GPa,C14_S_GPa,sigma_C14_S_GPa,C15_S_GPa,sigma_C15_S_GPa,C33_S_GPa,sigma_C33_S_GPa,C44_S_GPa,sigma_C44_S_GPa,qha_extrapolated,elastic_extrapolated,adiabatic_valid,mechanically_stable,minimum_stiffness_eigenvalue_GPa
dolomite-continental-demo,16.0,0.3677434390438174,611.12,109.64162775506924,2785.444371539622,198.6791427745405,0.37268892633274747,64.14728700278455,0.5217135345034105,51.97366210482488,0.3445079439185344,15.612196704072382,0.43738059824030945,-12.50485582716681,0.13232649439954927,109.00877194196674,0.47641451812084895,39.59611137435788,0.2961248621239046,199.85744757364625,0.374848258497182,65.3255918018877,0.5246755983593475,53.182981645462746,0.34848047237974766,15.612196704072693,0.438616383808615,-12.504855827166939,0.13270037283115171,110.24992257843914,0.48464042516626293,39.59611137435788,0.2961248621239046,False,False,True,True,29.10990140685002
dolomite-continental-demo,18.0,0.4248217184019134,644.88,109.68217580738003,2784.414629530452,198.43455590843328,0.3733486309994526,64.01542376604169,0.5226254946559215,51.840788718567076,0.3451107392415501,15.57483809196507,0.4381445622907436,-12.487654133211302,0.13255762647470418,108.8754585889674,0.47725349618419854,39.54818884482329,0.29664331924168896,199.68863993282548,0.3756607206403346,65.26950779043092,0.5257930351295887,53.12724909821926,0.34935111123992996,15.57483809196542,0.43946568923007034,-12.487654133211496,0.13295732435166366,110.19513117567222,0.486025017206023,39.54818884482329,0.29664331924168896,False,False,True,True,29.092975480595683
dolomite-continental-demo,20.0,0.48190772358623735,678.0,109.71958795979192,2783.465200659683,198.20917203269406,0.3739650538745757,63.8939604921443,0.5234676060651657,51.718405833071564,0.3456678860988679,15.540433011448956,0.43884950169178477,-12.471807880401888,0.13277090104766415,108.7525876538919,0.4780336680226758,39.504021092691346,0.29712279493638816,199.53782180759674,0.3764284261238301,65.22261026704366,0.5268380868949478,53.080811670072876,0.3501730618129455,15.540433011449345,0.4402548669671988,-12.471807880402146,0.13319608465434138,110.14960716931023,0.4873444326330954,39.504021092691346,0.29712279493638816,False,False,True,True,29.077334580624253
dolomite-continental-demo,22.0,0.5390014707857725,710.48,109.7556099792098,2782.5516615929682,197.99242285675712,0.3745656060290263,63.77719327166664,0.5242790262981981,51.600764399966216,0.34620520147802974,15.507364525512937,0.43952828388957055,-12.4565731520659,0.13297626193846568,108.63440207105765,0.4787903690805464,39.461538474110014,0.2975854587177009,199.3950488873371,0.3771804021586688,65.17981930224295,0.5278521135358476,53.03846508398618,0.350974170134205,15.507364525513365,0.4410177032945916,-12.456573152066225,0.13342687554445623,110.10805449997825,0.4886375661564734,39.461538474110014,0.2975854587177009,False,False,True,True,29.0622531863275
dolomite-continental-demo,24.0,0.5961029762099076,742.3199999999999,109.79198820205396,2781.6296973761027,197.7737889133755,0.3751791145106039,63.65945309532547,0.5250990503288362,51.48215251671298,0.34674868783100216,15.474026874344517,0.4402137985314117,-12.441210357775034,0.1331836596839559,108.51516696733648,0.47956005202171137,39.41867950705128,0.2980536905461318,199.25051192590647,0.3779474288837479,65.13617610785232,0.5288770418127763,52.99511101480507,0.35178283155119855,15.47402687434499,0.44178818407158593,-12.441210357775438,0.13365997921027115,110.06525008890027,0.48994503380135573,39.41867950705128,0.2980536905461318,False,False,True,True,29.047001171663993
dolomite-continental-demo,24.399999999999636,0.60787921145803,748.6111999999943,109.79842928220778,2781.466519269128,197.73510492287957,0.375288477438157,63.638625177317806,0.5252443022019414,51.461171420828926,0.3468450059517558,15.468130201411082,0.440335175789636,-12.438492603431975,0.1332203815395843,108.49406782503374,0.47969690728463743,39.41109553149111,0.29813669853753433,199.22642088748788,0.3780869934352735,65.12994114192193,0.5290625397036163,52.988961256411926,0.35193133909919877,15.468130201411562,0.4419262436772609,-12.438492603432394,0.13370174819548378,110.05922359155419,0.49018775757495503,39.41109553149111,0.2981366985375344,False,False,True,True,29.044298426295704
dolomite-continental-demo,26.0,0.6611379266296912,773.52,109.81515002081463,2781.0430059870027,197.6347210682513,0.3755734128780277,63.58458354731313,0.525621451416988,51.406733782416694,0.34709516769055415,15.4528312013058,0.44065026546653663,-12.431440755225491,0.13331570975670054,108.43931294933891,0.48005298654175754,39.39141431312839,0.2983523281263304,199.18300683435567,0.3784878029973393,65.13286931341304,0.5295939083753268,52.99251351719252,0.3523827196046902,15.45283120130631,0.44230523446021724,-12.431440755225958,0.13381640925312377,110.06349462321228,0.4909526249794793,39.39141431312839,0.2983523281263304,False,False,True,True,29.037279083568016
dolomite-continental-demo,28.0,0.7277107348916932,804.0799999999999,109.83364655890274,2780.5746643676857,197.52373990191313,0.3758903506151026,63.52484731846222,0.5260387919620689,51.346562233435954,0.34737210597467655,15.43592165318697,0.44099881740108093,-12.42364554558361,0.1334211617499827,108.37877233642246,0.48044824457094015,39.36965368003007,0.29859110120914345,199.14192895288537,0.37894713260372986,65.14303636942968,0.530200360255488,53.003534785223444,0.3529067905601899,15.435921653187513,0.44273210575149535,-12.423645545584135,0.13394555622959345,110.07545792190925,0.4918498799044064,39.36965368003007,0.29859110120914345,False,False,True,True,29.029508982663742
dolomite-continental-demo,30.0,0.7942829087281129,834.0,109.85274604917733,2780.091221207001,197.40921123464082,0.376219541056349,63.463213150341716,0.526469885628957,51.28448157731806,0.3476583005897608,15.418476587964754,0.4413587279034986,-12.415602360287297,0.13353005019994033,108.31629062451117,0.4808578891696917,39.34719558758638,0.2988379247125124,199.0980146930336,0.37942152046571065,65.15201660872934,0.5308238955771275,53.013177967225054,0.35344265834314265,15.418476587965339,0.44317168145075364,-12.415602360287892,0.13407854683741488,110.08582229714375,0.4927650756186583,39.34719558758638,0.2988379247125124,False,False,True,True,29.021479782168893
dolomite-continental-demo,32.0,0.8608544656804428,863.28,109.86832555373759,2779.69699981844,197.31584273820042,0.3764895093144755,63.412975095736876,0.5268216400816962,51.23388159269804,0.3478919214717671,15.404258405782835,0.44165230363615504,-12.409046123753104,0.13361886952101804,108.26534850066382,0.4811931678145384,39.32888540826803,0.29903945944146904,199.0730557429787,0.37983192560553486,65.17018810050966,0.5313613447222104,53.032169024396886,0.3539182695513835,15.404258405783455,0.44354208421873076,-12.40904612375376,0.13419060965009152,110.10567046402994,0.493590714586093,39.32888540826803,0.29903945944146904,False,False,True,True,29.01492597981501
dolomite-continental-demo,34.0,0.9274254233078809,891.92,109.88042748055209,2779.390851667858,197.24334822521544,0.3767001143537629,63.37397390956839,0.5270949451620489,51.194600671475484,0.3480735003554619,15.393221246568952,0.44188034544549387,-12.403956193787849,0.13368786200380667,108.22579252400133,0.4814543084244412,39.314667878170056,0.2991961323609096,199.06663468888524,0.380177738778099,65.19726037323241,0.5318130246473306,53.06022431188408,0.3543335394570679,15.393221246569604,0.44384388113642553,-12.403956193788554,0.13428191623408517,110.13473642119122,0.4943258859819942,39.314667878170056,0.2991961323609096,False,False,True,True,29.00983238361253
dolomite-continental-demo,35.0,0.9607106828668629,906.0,109.88609011829554,2779.2476244083978,197.20943699466085,0.3767989287080368,63.35573168185392,0.5272228479844162,51.17622797444142,0.3481584949375397,15.388059021030811,0.44198704775239916,-12.401575411458415,0.13372014405372523,108.20728833910658,0.481576709861877,39.30801698832854,0.29926947859649605,199.06565197907523,0.38034410206985686,65.21194666626235,0.5320299119470286,53.075380964444285,0.35453487652698157,15.388059021031479,0.44398736466430594,-12.401575411459147,0.1343253261896577,110.15037257758168,0.49468398938975794,39.30801698832854,0.29926947859649605,False,False,True,True,29.007448218556984
dolomite-continental-demo,36.0,0.9939957991873581,916.6030303030303,109.88032215081171,2779.3935159530647,197.243979061466,0.37669827795436645,63.37431327173008,0.5270925661847162,51.194942463022784,0.34807191957681893,15.393317281480261,0.4418783606867369,-12.4040004834833,0.13368726152867988,108.22613674451043,0.4814520329285441,39.31479160026581,0.2991947682841362,199.1242129380454,0.38028917306928833,65.25454714830346,0.5319598354164493,53.11862906610793,0.3545284669019139,15.393317281480938,0.4439035472023937,-12.40400048348404,0.13429996779232717,110.19428027866562,0.49472241943009965,39.31479160026581,0.2991947682841362,False,False,True,True,29.009876726163256
dolomite-continental-demo,38.0,1.0605656109135664,937.790909090909,109.8679449382402,2779.7066295221425,197.31812321420674,0.3764828983485532,63.414202040850384,0.526813045366203,51.23511735565189,0.34788621216376664,15.404605637151041,0.441645131482093,-12.409206246720018,0.1336166996350786,108.26659278268349,0.48118496467377925,39.32933263983548,0.2990345337033991,199.24569876489218,0.38016339823779327,65.3417775915297,0.5317981517402655,53.20724441778228,0.35450055591865937,15.404605637151732,0.4437189759302348,-12.409206246720768,0.13424412702182986,110.28430106280979,0.49477686876430466,39.32933263983548,0.2990345337033991,False,False,True,True,29.015086139307122
