pressure_GPa,temperature_K,volume_A3,density_kg_m3,C11_T_GPa,sigma_C11_T_GPa,C12_T_GPa,sigma_C12_T_GPa,C13_T_GPa,sigma_C13_T_GPa,C14_T_GPa,sigma_C14_T_GPa,C15_T_GPa,sigma_C15_T_GPa,C33_T_GPa,sigma_C33_T_GPa,C44_T_GPa,sigma_C44_T_GPa,C11_S_GPa,sigma_C11_S_GPa,C12_S_GPa,sigma_C12_S_GPa,C13_S_GPa,sigma_C13_S_GPa,C14_S_GPa,sigma_C14_S_GPa,C15_S_GPa,sigma_C15_S_GPa,C33_S_GPa,sigma_C33_S_GPa,C44_S_GPa,sigma_C44_S_GPa,qha_extrapolated,elastic_extrapolated,adiabatic_valid,mechanically_stable,minimum_stiffness_eigenvalue_GPa
0.0,800.0,110.74061720892384,2757.801632445569,192.1630241278156,0.3937009032560819,60.65257061322752,0.5466379059507702,48.45639822730974,0.36119782634626835,14.624840462636087,0.458048820701539,-12.0484781984068,0.13857952311416954,105.44774012797357,0.5015920629626197,38.316407706897074,0.3105953683166383,193.85865371670369,0.39723879938218304,62.34820020210683,0.5514122514445068,50.184264458972734,0.3673962329779928,14.624840462637003,0.4600359293644663,-12.048478198408407,0.13918070918525854,107.20845587278376,0.5142954538932502,38.316407706897074,0.3105953683166383,False,False,True,True,28.641929500999034
2.0,800.0,108.20892743218522,2822.32401858151,207.53322464583277,0.3547477678781964,68.95626047480633,0.49019528646396276,56.827649897952604,0.32402588525024506,16.979999008295486,0.4106322491190879,-13.131268332984078,0.12423396512084625,113.81634296315691,0.45108391332644043,41.32507142489902,0.27869733192207113,208.9658911267466,0.3570534167184061,70.38892695572243,0.49330671782024077,58.31076298276334,0.32840020784527985,16.97999900829531,0.41192771743355694,-13.131268332982668,0.12462590015697692,115.35167896189807,0.4603258805414343,41.32507142489902,0.27869733192207113,False,False,True,True,29.68962120861817
4.0,800.0,105.99233846661873,2881.346513672618,222.0851098290031,0.344110976028684,77.00661650350797,0.4468196453722135,64.98675274992365,0.29690765992803597,19.29189784035546,0.37276177675620803,-14.176263108373716,0.11277651381274828,121.64064154920624,0.427064877830994,44.14220047068637,0.2562039857917485,223.40098677002834,0.3459094265847467,78.32249344454037,0.44911307603903944,66.3542676914914,0.30031970145335835,19.291897840354697,0.3737129812462583,-14.176263108370946,0.11306429419421446,123.06182088376771,0.4346325575026622,44.14220047068637,0.2562039857917485,False,False,True,True,30.506539258405294
6.0,800.0,103.99617632522278,2936.6527280939026,236.14675350961414,0.34519376105239696,84.95318936803424,0.4197660036646055,73.07785280152493,0.280669954378466,21.59915155914724,0.3484560005176229,-15.203964342350357,0.10542296807107322,129.1115935814956,0.4184019875825083,46.83597270291382,0.24310947524724427,237.4220773699239,0.34675457080659444,86.22851322835336,0.4216375142536625,74.39848994882814,0.2835576198512193,21.599151559146144,0.34922844243562917,-15.203964342346987,0.10565666506448923,130.4791540334843,0.42509730109090066,46.83597270291382,0.24310947524724427,False,False,True,True,31.14180476025747
8.0,800.0,102.16540066562699,2989.276730938818,249.90856540948937,0.34958922254412245,92.88399112659827,0.41335044572830354,81.18607906154553,0.2771805091493662,23.924748895767593,0.34232493089039373,-16.226436342411535,0.10356805490876707,136.3391249323493,0.41971925336614085,49.44567625437453,0.24050331270972128,251.19271011687053,0.3510340863856905,94.16813583398944,0.4150378140578946,82.50450489468082,0.279826662461728,23.924748895766335,0.3430198119701434,-16.226436342408014,0.10377828640325797,137.69274704945747,0.4259752225874656,49.44567625437453,0.24050331270972128,False,False,True,True,31.623026863985487
10.0,800.0,100.46465781150852,3039.8815023069283,263.49321676783677,0.3558235145757512,100.85699861578156,0.43073403179237923,89.36782307237668,0.28813537682952767,26.2840981685284,0.3574283971768822,-17.251618781363533,0.10813750468628387,143.39315166922003,0.43061321646588097,51.996340395119475,0.24964455508386366,264.8241775555759,0.35722730088782173,102.18795940353026,0.4324115575830802,90.71798644326553,0.2907583420709566,26.28409816852712,0.358120718280261,-17.251618781360204,0.10834696167725705,144.76279467063898,0.4367350192504118,51.996340395119475,0.24964455508386366,False,False,True,True,31.966971107868474
0.0,900.0,111.11276099107468,2748.565081029098,190.00872106158477,0.4023056109123186,59.505614226737364,0.5551376523996864,47.30400295232419,0.36699443658608766,14.302060293687695,0.46499381851985055,-11.898466637911019,0.14068068449026483,104.26611723227818,0.5112683790458186,37.89195411814115,0.31567682779670325,192.00180156851357,0.40667568458756165,61.49869473365346,0.560973568377225,49.32802990033943,0.3744768828428503,14.302060293688985,0.46741924067629387,-11.898466637913588,0.1414144792968978,106.32157112490823,0.5265527608091382,37.89195411814115,0.31567682779670325,False,False,True,True,28.47934472428749
2.0,900.0,108.51470661236593,2814.37110646897,205.60836532504945,0.35773610378629245,67.90496333395416,0.49677773391711694,55.765179969823386,0.3282481577296147,16.680105306279817,0.4162729437672695,-12.994476073931953,0.1259405185394633,112.77422341127728,0.4557995745074168,40.95016340156152,0.2822597071519826,207.26093548774233,0.3604801628885356,69.55753349664853,0.5004845804029137,57.473825591282754,0.33341444614214355,16.68010530627973,0.41781546893077076,-12.994476073930652,0.12640719892756014,114.54084725917184,0.46664567429045234,40.95016340156152,0.2822597071519826,False,False,True,True,29.56901021281237
4.0,900.0,106.25711788615068,2874.1665593077905,220.2898161844896,0.34454198604429925,76.0037642209166,0.45145517317392503,63.9682018446651,0.2997472559214231,19.002454418812263,0.37686772546277436,-14.046312125387605,0.11401874039731404,120.68048157742449,0.429066759857924,43.79627560176331,0.2585266641343337,221.7921195490742,0.34663711353136145,77.50606758550882,0.45414297073986903,65.52943994466766,0.3037225962430222,19.00245441881146,0.377982337259399,-14.0463121253846,0.11435595853645578,122.30296639797442,0.43781961558838606,43.79627560176331,0.2585266641343337,False,False,True,True,30.414674425614024
6.0,900.0,104.23336711520044,2929.9701560947,234.42583213369562,0.3447827976437654,83.97202366169824,0.42208153699276896,72.07697396975777,0.2820296225911991,21.31299286793397,0.3505673549604832,-15.077257680661042,0.10606174387066042,128.20195905481384,0.4188748665779469,46.50778359328412,0.2441888005857283,235.8724541121724,0.3465793901873944,85.4186456401854,0.42424536838485105,73.57612288974873,0.285357275809771,21.312992867932763,0.35146026234063577,-15.077257680657278,0.10633188686176877,129.75554217310471,0.42654886046396806,46.50778359328412,0.2441888005857283,False,False,True,True,31.07196949544077
8.0,900.0,102.38303966107178,2982.9223270553066,248.22705053111056,0.3489756063240256,91.90696796035378,0.41289604691178156,80.1855148719479,0.27685659657881395,23.637073236100075,0.34196799058109134,-16.100629511518292,0.10346006509256434,135.46043657574882,0.4190741575620524,49.12820327443157,0.24021232041229315,249.67727156491094,0.3506266918092028,93.35718899416547,0.41482224747841545,81.67633609335513,0.2798748630424397,23.637073236098665,0.34276068411447036,-16.100629511514303,0.10369988907264648,136.9929946220032,0.42619898131479417,49.12820327443157,0.24021232041229312,False,False,True,True,31.571495221782698
10.0,900.0,100.66797263576214,3033.7419828827155,261.82676961436346,0.3548692727953644,99.8713713792521,0.42726938545620136,88.35483375846923,0.285974621914804,25.99132519621078,0.3543956941986955,-17.125019470550328,0.10721998125803543,142.53209009956612,0.42866735175154497,51.68479494022976,0.24785412211958882,263.3251287982274,0.35646427609513376,101.36973056312698,0.42916235194369645,89.87728793763074,0.28893848745285594,25.991325196209324,0.3551760140898303,-17.125019470546512,0.1074560616773868,144.07902674373517,0.43560058501155335,51.68479494022976,0.24785412211958882,False,False,True,True,31.931627320131263
0.0,1000.0,111.50336060859124,2738.9367750882757,187.7753095384032,0.4121460291039716,58.32101838301954,0.5640685459302448,46.114840456429484,0.3731447389043297,13.969362210613438,0.47223219395864413,-11.743407066066956,0.14287060524912693,103.03883511134984,0.5220471191398739,37.451192368018845,0.32109929697329553,190.10138175971255,0.41752718194889604,60.64709060431099,0.5711644771119895,48.46779439387856,0.38212219321081564,13.96936221061521,0.4751763230924204,-11.74340706607082,0.1437613312874093,105.41898142883635,0.5403301979690457,37.451192368018845,0.32109929697329553,False,False,True,True,28.306607747990114
2.0,1000.0,108.83183452049649,2806.1702374343727,203.63242912565295,0.36130145385316814,66.82912567120644,0.5036997909196017,54.6786698298197,0.3327193720566693,16.373713238161457,0.4221740222602524,-12.854406330017316,0.12772584930070024,111.70269942404204,0.46108000588606535,40.5647509448674,0.2860493120439175,205.5187437883556,0.3645413839995145,68.71544033390938,0.5080755252247255,56.62612550205235,0.3387618290766205,16.373713238161507,0.42399370360511685,-12.854406330016237,0.12827638138693595,113.71327786585792,0.4736878983637953,40.5647509448674,0.2860493120439175,False,False,True,True,29.442084975259533
